Datum;Uhrzeit;Generation_DE Moorburg B[MW];Generation_DE Moorburg A[MW]
01.01.2020;00:00;0;0
01.01.2020;01:00;0;0
01.01.2020;02:00;0;0
01.01.2020;03:00;0;0
01.01.2020;04:00;0;0
01.01.2020;05:00;0;0
01.01.2020;06:00;0;0
01.01.2020;07:00;0;0
01.01.2020;08:00;0;0
01.01.2020;09:00;0;0
01.01.2020;10:00;0;0
01.01.2020;11:00;0;0
01.01.2020;12:00;0;0
01.01.2020;13:00;0;0
01.01.2020;14:00;0;0
01.01.2020;15:00;0;0
01.01.2020;16:00;0;0
01.01.2020;17:00;0;0
01.01.2020;18:00;0;0
01.01.2020;19:00;0;0
01.01.2020;20:00;0;0
01.01.2020;21:00;0;0
01.01.2020;22:00;0;0
01.01.2020;23:00;0;0
02.01.2020;00:00;0;0
02.01.2020;01:00;0;0
02.01.2020;02:00;0;0
02.01.2020;03:00;0;0
02.01.2020;04:00;0;0
02.01.2020;05:00;0;0
02.01.2020;06:00;0;0
02.01.2020;07:00;0;0
02.01.2020;08:00;0;0
02.01.2020;09:00;0;0
02.01.2020;10:00;0;0
02.01.2020;11:00;0;0
02.01.2020;12:00;0;0
02.01.2020;13:00;0;0
02.01.2020;14:00;0;0
02.01.2020;15:00;0;0
02.01.2020;16:00;0;0
02.01.2020;17:00;0;0
02.01.2020;18:00;0;0
02.01.2020;19:00;0;0
02.01.2020;20:00;0;0
02.01.2020;21:00;0;0
02.01.2020;22:00;0;0
02.01.2020;23:00;0;0
03.01.2020;00:00;0;0
03.01.2020;01:00;0;0
03.01.2020;02:00;0;0
03.01.2020;03:00;0;0
03.01.2020;04:00;0;0
03.01.2020;05:00;0;0
03.01.2020;06:00;0;0
03.01.2020;07:00;0;0
03.01.2020;08:00;0;0
03.01.2020;09:00;0;0
03.01.2020;10:00;0;0
03.01.2020;11:00;0;0
03.01.2020;12:00;0;0
03.01.2020;13:00;0;0
03.01.2020;14:00;0;0
03.01.2020;15:00;0;0
03.01.2020;16:00;0;0
03.01.2020;17:00;0;0
03.01.2020;18:00;0;0
03.01.2020;19:00;0;0
03.01.2020;20:00;0;0
03.01.2020;21:00;0;0
03.01.2020;22:00;0;0
03.01.2020;23:00;0;0
04.01.2020;00:00;0;0
04.01.2020;01:00;0;0
04.01.2020;02:00;0;0
04.01.2020;03:00;0;0
04.01.2020;04:00;0;0
04.01.2020;05:00;0;0
04.01.2020;06:00;0;0
04.01.2020;07:00;0;0
04.01.2020;08:00;0;0
04.01.2020;09:00;0;0
04.01.2020;10:00;0;0
04.01.2020;11:00;0;0
04.01.2020;12:00;0;0
04.01.2020;13:00;0;0
04.01.2020;14:00;0;0
04.01.2020;15:00;0;0
04.01.2020;16:00;0;0
04.01.2020;17:00;0;0
04.01.2020;18:00;0;0
04.01.2020;19:00;0;0
04.01.2020;20:00;0;0
04.01.2020;21:00;0;0
04.01.2020;22:00;0;0
04.01.2020;23:00;0;0
05.01.2020;00:00;0;0
05.01.2020;01:00;0;0
05.01.2020;02:00;0;0
05.01.2020;03:00;0;0
05.01.2020;04:00;0;0
05.01.2020;05:00;0;0
05.01.2020;06:00;0;0
05.01.2020;07:00;0;100
05.01.2020;08:00;0;279
05.01.2020;09:00;0;460
05.01.2020;10:00;0;651
05.01.2020;11:00;0;745
05.01.2020;12:00;0;744
05.01.2020;13:00;0;743
05.01.2020;14:00;0;736
05.01.2020;15:00;0;738
05.01.2020;16:00;0;736
05.01.2020;17:00;0;594
05.01.2020;18:00;0;392
05.01.2020;19:00;0;336
05.01.2020;20:00;0;356
05.01.2020;21:00;0;305
05.01.2020;22:00;0;304
05.01.2020;23:00;0;301
06.01.2020;00:00;0;302
06.01.2020;01:00;0;301
06.01.2020;02:00;0;303
06.01.2020;03:00;0;301
06.01.2020;04:00;0;303
06.01.2020;05:00;0;300
06.01.2020;06:00;0;380
06.01.2020;07:00;0;381
06.01.2020;08:00;0;381
06.01.2020;09:00;0;381
06.01.2020;10:00;0;380
06.01.2020;11:00;0;340
06.01.2020;12:00;0;299
06.01.2020;13:00;0;299
06.01.2020;14:00;0;300
06.01.2020;15:00;0;303
06.01.2020;16:00;0;393
06.01.2020;17:00;0;392
06.01.2020;18:00;0;390
06.01.2020;19:00;0;388
06.01.2020;20:00;0;303
06.01.2020;21:00;0;303
06.01.2020;22:00;0;302
06.01.2020;23:00;0;300
07.01.2020;00:00;0;305
07.01.2020;01:00;0;303
07.01.2020;02:00;0;302
07.01.2020;03:00;0;303
07.01.2020;04:00;0;303
07.01.2020;05:00;0;330
07.01.2020;06:00;0;731
07.01.2020;07:00;0;744
07.01.2020;08:00;0;743
07.01.2020;09:00;0;743
07.01.2020;10:00;0;743
07.01.2020;11:00;0;744
07.01.2020;12:00;0;742
07.01.2020;13:00;0;754
07.01.2020;14:00;0;701
07.01.2020;15:00;0;689
07.01.2020;16:00;0;735
07.01.2020;17:00;0;739
07.01.2020;18:00;0;742
07.01.2020;19:00;0;732
07.01.2020;20:00;0;470
07.01.2020;21:00;0;443
07.01.2020;22:00;0;441
07.01.2020;23:00;0;297
08.01.2020;00:00;0;182
08.01.2020;01:00;0;182
08.01.2020;02:00;0;183
08.01.2020;03:00;0;184
08.01.2020;04:00;0;194
08.01.2020;05:00;0;302
08.01.2020;06:00;0;437
08.01.2020;07:00;0;453
08.01.2020;08:00;0;715
08.01.2020;09:00;0;734
08.01.2020;10:00;0;738
08.01.2020;11:00;0;740
08.01.2020;12:00;0;740
08.01.2020;13:00;0;734
08.01.2020;14:00;0;705
08.01.2020;15:00;0;652
08.01.2020;16:00;0;615
08.01.2020;17:00;0;741
08.01.2020;18:00;0;743
08.01.2020;19:00;0;742
08.01.2020;20:00;0;742
08.01.2020;21:00;0;743
08.01.2020;22:00;0;743
08.01.2020;23:00;0;741
09.01.2020;00:00;0;640
09.01.2020;01:00;0;312
09.01.2020;02:00;0;454
09.01.2020;03:00;0;408
09.01.2020;04:00;0;303
09.01.2020;05:00;0;308
09.01.2020;06:00;0;563
09.01.2020;07:00;0;599
09.01.2020;08:00;0;601
09.01.2020;09:00;0;602
09.01.2020;10:00;0;601
09.01.2020;11:00;0;600
09.01.2020;12:00;0;455
09.01.2020;13:00;0;393
09.01.2020;14:00;0;394
09.01.2020;15:00;0;420
09.01.2020;16:00;0;387
09.01.2020;17:00;0;598
09.01.2020;18:00;0;603
09.01.2020;19:00;0;593
09.01.2020;20:00;0;306
09.01.2020;21:00;0;300
09.01.2020;22:00;0;301
09.01.2020;23:00;0;300
10.01.2020;00:00;0;300
10.01.2020;01:00;0;300
10.01.2020;02:00;0;300
10.01.2020;03:00;0;300
10.01.2020;04:00;0;300
10.01.2020;05:00;0;300
10.01.2020;06:00;0;299
10.01.2020;07:00;0;300
10.01.2020;08:00;0;300
10.01.2020;09:00;0;300
10.01.2020;10:00;0;299
10.01.2020;11:00;0;300
10.01.2020;12:00;0;379
10.01.2020;13:00;0;305
10.01.2020;14:00;0;519
10.01.2020;15:00;0;559
10.01.2020;16:00;0;654
10.01.2020;17:00;0;660
10.01.2020;18:00;0;668
10.01.2020;19:00;0;736
10.01.2020;20:00;0;740
10.01.2020;21:00;0;615
10.01.2020;22:00;0;657
