Datum;Uhrzeit;Generation_DE G[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE A[MW];Generation_DE B[MW];Generation_DE D[MW];Generation_DE E[MW]
01.01.2020;00:00;1.055;-;1.061;0;262;0;0
01.01.2020;01:00;1.055;-;1.065;0;267;0;0
01.01.2020;02:00;1.056;-;1.066;0;265;0;0
01.01.2020;03:00;1.054;-;1.065;0;265;0;0
01.01.2020;04:00;1.058;-;1.063;0;266;0;0
01.01.2020;05:00;1.051;-;1.063;0;252;0;0
01.01.2020;06:00;1.051;-;1.067;0;212;0;0
01.01.2020;07:00;1.056;-;1.065;0;162;0;0
01.01.2020;08:00;1.056;-;1.062;0;165;0;0
01.01.2020;09:00;1.060;-;1.063;0;165;0;0
01.01.2020;10:00;1.056;-;1.066;0;166;0;0
01.01.2020;11:00;1.051;-;1.064;0;163;0;0
01.01.2020;12:00;1.054;-;1.063;0;162;0;0
01.01.2020;13:00;1.049;-;1.061;0;161;0;0
01.01.2020;14:00;1.050;-;1.062;0;165;0;0
01.01.2020;15:00;1.047;-;1.072;0;243;0;0
01.01.2020;16:00;1.048;-;1.074;0;252;0;0
01.01.2020;17:00;1.046;-;1.071;0;270;0;0
01.01.2020;18:00;1.048;-;1.071;0;271;0;0
01.01.2020;19:00;1.051;-;1.072;0;273;0;0
01.01.2020;20:00;1.049;-;1.070;0;272;0;0
01.01.2020;21:00;1.049;-;1.070;0;273;0;0
01.01.2020;22:00;1.049;-;1.072;0;260;0;0
01.01.2020;23:00;1.052;-;1.070;0;266;0;0
02.01.2020;00:00;1.053;-;1.072;0;199;0;0
02.01.2020;01:00;1.054;-;1.073;0;156;0;0
02.01.2020;02:00;1.053;-;1.071;0;154;0;0
02.01.2020;03:00;955;-;984;0;174;0;0
02.01.2020;04:00;530;-;536;0;185;0;0
02.01.2020;05:00;664;-;653;0;248;0;0
02.01.2020;06:00;976;-;990;0;262;0;0
02.01.2020;07:00;1.053;-;1.063;0;262;0;0
02.01.2020;08:00;1.053;-;1.068;0;262;0;0
02.01.2020;09:00;1.055;-;1.069;0;263;0;0
