Datum;Uhrzeit;Generation_DE G[MW];Generation_DE H[MW];Generation_DE D[MW];Generation_DE E[MW];Generation_DE C[MW];Generation_DE B[MW];Generation_DE F[MW];Generation_DE K[MW];Generation_DE A[MW]
01.01.2020;00:00;0;0;0;-;268;-;-;934;-
01.01.2020;01:00;0;0;0;-;279;-;-;932;-
01.01.2020;02:00;0;0;0;-;279;-;-;927;-
01.01.2020;03:00;0;0;0;-;280;-;-;929;-
01.01.2020;04:00;0;0;0;-;278;-;-;929;-
01.01.2020;05:00;0;0;0;-;214;-;-;927;-
01.01.2020;06:00;0;0;0;-;155;-;-;927;-
01.01.2020;07:00;0;0;0;-;149;-;-;933;-
01.01.2020;08:00;0;0;0;-;150;-;-;927;-
01.01.2020;09:00;0;0;0;-;150;-;-;929;-
01.01.2020;10:00;0;0;0;-;150;-;-;927;-
01.01.2020;11:00;0;0;0;-;150;-;-;902;-
01.01.2020;12:00;0;0;0;-;150;-;-;907;-
01.01.2020;13:00;0;0;0;-;150;-;-;848;-
01.01.2020;14:00;0;0;0;-;175;-;-;928;-
01.01.2020;15:00;0;0;0;-;254;-;-;926;-
01.01.2020;16:00;0;0;0;-;278;-;-;931;-
01.01.2020;17:00;0;0;0;-;284;-;-;928;-
01.01.2020;18:00;0;0;0;-;284;-;-;931;-
01.01.2020;19:00;0;0;0;-;284;-;-;930;-
01.01.2020;20:00;0;0;0;-;280;-;-;929;-
01.01.2020;21:00;0;0;0;-;279;-;-;931;-
01.01.2020;22:00;0;0;0;-;275;-;-;930;-
01.01.2020;23:00;0;0;0;-;277;-;-;924;-
02.01.2020;00:00;0;0;0;-;219;-;-;925;-
02.01.2020;01:00;0;0;0;-;160;-;-;926;-
02.01.2020;02:00;0;0;0;-;149;-;-;928;-
02.01.2020;03:00;0;0;0;-;161;-;-;929;-
02.01.2020;04:00;0;0;0;-;153;-;-;917;-
02.01.2020;05:00;0;0;0;-;183;-;-;928;-
02.01.2020;06:00;0;0;0;-;262;-;-;923;-
02.01.2020;07:00;0;0;0;-;271;-;-;927;-
02.01.2020;08:00;0;0;0;-;249;-;-;925;-
02.01.2020;09:00;0;0;0;-;244;-;-;925;-
02.01.2020;10:00;0;0;0;-;245;-;-;929;-
02.01.2020;11:00;0;0;0;-;244;-;-;929;-
02.01.2020;12:00;0;0;0;-;245;-;-;928;-
02.01.2020;13:00;0;0;0;-;243;-;-;924;-
02.01.2020;14:00;0;0;0;-;245;-;-;926;-
02.01.2020;15:00;0;0;0;-;243;-;-;926;-
02.01.2020;16:00;0;0;0;-;242;-;-;928;-
02.01.2020;17:00;0;0;0;-;244;-;-;924;-
02.01.2020;18:00;0;0;0;-;243;-;-;928;-
02.01.2020;19:00;0;0;0;-;243;-;-;927;-
02.01.2020;20:00;0;0;0;-;240;-;-;928;-
02.01.2020;21:00;0;0;0;-;178;-;-;892;-
02.01.2020;22:00;0;0;0;-;172;-;-;825;-
02.01.2020;23:00;0;0;0;-;148;-;-;493;-
03.01.2020;00:00;0;0;0;-;148;-;-;568;-
03.01.2020;01:00;0;0;0;-;150;-;-;566;-
03.01.2020;02:00;0;0;0;-;150;-;-;487;-
03.01.2020;03:00;0;0;0;-;150;-;-;521;-
03.01.2020;04:00;0;0;0;-;150;-;-;514;-
03.01.2020;05:00;0;0;0;-;150;-;-;449;-
03.01.2020;06:00;0;0;0;-;149;-;-;365;-
03.01.2020;07:00;0;0;0;-;150;-;-;652;-
03.01.2020;08:00;0;0;0;-;150;-;-;794;-
03.01.2020;09:00;0;0;0;-;151;-;-;782;-
03.01.2020;10:00;0;0;0;-;151;-;-;911;-
03.01.2020;11:00;0;0;0;-;150;-;-;928;-
03.01.2020;12:00;0;0;0;-;151;-;-;924;-
03.01.2020;13:00;0;0;0;-;182;-;-;931;-
03.01.2020;14:00;0;0;0;-;177;-;-;922;-
03.01.2020;15:00;0;0;0;-;169;-;-;925;-
03.01.2020;16:00;0;0;0;-;170;-;-;925;-
03.01.2020;17:00;0;0;0;-;163;-;-;921;-
03.01.2020;18:00;0;0;0;-;148;-;-;684;-
03.01.2020;19:00;0;0;0;-;150;-;-;382;-
03.01.2020;20:00;0;0;0;-;150;-;-;368;-
03.01.2020;21:00;0;0;0;-;150;-;-;385;-
03.01.2020;22:00;0;0;0;-;150;-;-;402;-
03.01.2020;23:00;0;0;0;-;150;-;-;369;-
04.01.2020;00:00;0;0;0;-;153;-;-;370;-
04.01.2020;01:00;0;0;0;-;151;-;-;368;-
04.01.2020;02:00;0;0;0;-;150;-;-;407;-
04.01.2020;03:00;0;0;0;-;151;-;-;360;-
04.01.2020;04:00;0;0;0;-;152;-;-;374;-
