Datum;Uhrzeit;Generation_DE MÜN GT17[MW];Generation_DE MÜN GT18[MW];Generation_DE MÜN GT16[MW];Generation_DE MÜN DT15[MW];Generation_DE MÜN DT12[MW];Generation_DE MÜN DT19 neu[MW]
01.01.2020;00:00;-;-;-;-;-;52
01.01.2020;01:00;-;-;-;-;-;51
01.01.2020;02:00;-;-;-;-;-;49
01.01.2020;03:00;-;-;-;-;-;49
01.01.2020;04:00;-;-;-;-;-;53
01.01.2020;05:00;-;-;-;-;-;54
01.01.2020;06:00;-;-;-;-;-;53
01.01.2020;07:00;-;-;-;-;-;55
01.01.2020;08:00;-;-;-;-;-;62
01.01.2020;09:00;-;-;-;-;-;62
01.01.2020;10:00;-;-;-;-;-;63
01.01.2020;11:00;-;-;-;-;-;54
01.01.2020;12:00;-;-;-;-;-;48
01.01.2020;13:00;-;-;-;-;-;45
01.01.2020;14:00;-;-;-;-;-;44
01.01.2020;15:00;-;-;-;-;-;51
01.01.2020;16:00;-;-;-;-;-;53
01.01.2020;17:00;-;-;-;-;-;58
01.01.2020;18:00;-;-;-;-;-;58
01.01.2020;19:00;-;-;-;-;-;58
01.01.2020;20:00;-;-;-;-;-;59
01.01.2020;21:00;-;-;-;-;-;59
01.01.2020;22:00;-;-;-;-;-;59
01.01.2020;23:00;-;-;-;-;-;59
02.01.2020;00:00;-;-;-;-;-;57
02.01.2020;01:00;-;-;-;-;-;56
02.01.2020;02:00;-;-;-;-;-;53
02.01.2020;03:00;-;-;-;-;-;55
02.01.2020;04:00;-;-;-;-;-;56
02.01.2020;05:00;-;-;-;-;-;58
02.01.2020;06:00;-;-;-;-;-;59
02.01.2020;07:00;-;-;-;-;-;59
02.01.2020;08:00;-;-;-;-;-;60
02.01.2020;09:00;-;-;-;-;-;62
02.01.2020;10:00;-;-;-;-;-;63
02.01.2020;11:00;-;-;-;-;-;61
02.01.2020;12:00;-;-;-;-;-;59
02.01.2020;13:00;-;-;-;-;-;60
02.01.2020;14:00;-;-;-;-;-;57
02.01.2020;15:00;-;-;-;-;-;56
02.01.2020;16:00;-;-;-;-;-;52
02.01.2020;17:00;-;-;-;-;-;57
02.01.2020;18:00;-;-;-;-;-;62
02.01.2020;19:00;-;-;-;-;-;61
02.01.2020;20:00;-;-;-;-;-;60
02.01.2020;21:00;-;-;-;-;-;57
02.01.2020;22:00;-;-;-;-;-;50
02.01.2020;23:00;-;-;-;-;-;47
03.01.2020;00:00;-;-;-;-;-;47
03.01.2020;01:00;-;-;-;-;-;46
03.01.2020;02:00;-;-;-;-;-;46
03.01.2020;03:00;-;-;-;-;-;45
03.01.2020;04:00;-;-;-;-;-;44
03.01.2020;05:00;-;-;-;-;-;45
03.01.2020;06:00;-;-;-;-;-;45
03.01.2020;07:00;-;-;-;-;-;49
03.01.2020;08:00;-;-;-;-;-;56
03.01.2020;09:00;-;-;-;-;-;56
03.01.2020;10:00;-;-;-;-;-;55
03.01.2020;11:00;-;-;-;-;-;53
03.01.2020;12:00;-;-;-;-;-;52
03.01.2020;13:00;-;-;-;-;-;48
03.01.2020;14:00;-;-;-;-;-;52
03.01.2020;15:00;-;-;-;-;-;53
03.01.2020;16:00;-;-;-;-;-;53
03.01.2020;17:00;-;-;-;-;-;52
03.01.2020;18:00;-;-;-;-;-;53
03.01.2020;19:00;-;-;-;-;-;53
03.01.2020;20:00;-;-;-;-;-;51
03.01.2020;21:00;-;-;-;-;-;50
03.01.2020;22:00;-;-;-;-;-;44
03.01.2020;23:00;-;-;-;-;-;46
04.01.2020;00:00;-;-;-;-;-;46
04.01.2020;01:00;-;-;-;-;-;49
04.01.2020;02:00;-;-;-;-;-;50
04.01.2020;03:00;-;-;-;-;-;48
04.01.2020;04:00;-;-;-;-;-;46
04.01.2020;05:00;-;-;-;-;-;46
04.01.2020;06:00;-;-;-;-;-;44
04.01.2020;07:00;-;-;-;-;-;46
04.01.2020;08:00;-;-;-;-;-;48
04.01.2020;09:00;-;-;-;-;-;48
04.01.2020;10:00;-;-;-;-;-;50
04.01.2020;11:00;-;-;-;-;-;47
04.01.2020;12:00;-;-;-;-;-;46
04.01.2020;13:00;-;-;-;-;-;45
04.01.2020;14:00;-;-;-;-;-;50
04.01.2020;15:00;-;-;-;-;-;53
04.01.2020;16:00;-;-;-;-;-;53
04.01.2020;17:00;-;-;-;-;-;52
04.01.2020;18:00;-;-;-;-;-;54
04.01.2020;19:00;-;-;-;-;-;53
04.01.2020;20:00;-;-;-;-;-;51
04.01.2020;21:00;-;-;-;-;-;54
04.01.2020;22:00;-;-;-;-;-;47
04.01.2020;23:00;-;-;-;-;-;45
05.01.2020;00:00;-;-;-;-;-;45
05.01.2020;01:00;-;-;-;-;-;46
05.01.2020;02:00;-;-;-;-;-;48
05.01.2020;03:00;-;-;-;-;-;46
05.01.2020;04:00;-;-;-;-;-;45
05.01.2020;05:00;-;-;-;-;-;47
05.01.2020;06:00;-;-;-;-;-;45
05.01.2020;07:00;-;-;-;-;-;44
05.01.2020;08:00;-;-;-;-;-;45
05.01.2020;09:00;-;-;-;-;-;46
05.01.2020;10:00;-;-;-;-;-;44
05.01.2020;11:00;-;-;-;-;-;48
05.01.2020;12:00;-;-;-;-;-;46
05.01.2020;13:00;-;-;-;-;-;47
05.01.2020;14:00;-;-;-;-;-;45
05.01.2020;15:00;-;-;-;-;-;46
05.01.2020;16:00;-;-;-;-;-;45
05.01.2020;17:00;-;-;-;-;-;45
05.01.2020;18:00;-;-;-;-;-;51
05.01.2020;19:00;-;-;-;-;-;51
05.01.2020;20:00;-;-;-;-;-;51
05.01.2020;21:00;-;-;-;-;-;50
05.01.2020;22:00;-;-;-;-;-;48
05.01.2020;23:00;-;-;-;-;-;48
06.01.2020;00:00;-;-;-;-;-;48
06.01.2020;01:00;-;-;-;-;-;48
06.01.2020;02:00;-;-;-;-;-;49
06.01.2020;03:00;-;-;-;-;-;50
06.01.2020;04:00;-;-;-;-;-;51
06.01.2020;05:00;-;-;-;-;-;56
06.01.2020;06:00;-;-;-;-;-;54
06.01.2020;07:00;-;-;-;-;-;57
06.01.2020;08:00;-;-;-;-;-;55
06.01.2020;09:00;-;-;-;-;-;57
06.01.2020;10:00;-;-;-;-;-;56
06.01.2020;11:00;-;-;-;-;-;52
06.01.2020;12:00;-;-;-;-;-;52
06.01.2020;13:00;-;-;-;-;-;53
06.01.2020;14:00;-;-;-;-;-;52
06.01.2020;15:00;-;-;-;-;-;53
06.01.2020;16:00;-;-;-;-;-;52
06.01.2020;17:00;-;-;-;-;-;54
06.01.2020;18:00;-;-;-;-;-;56
06.01.2020;19:00;-;-;-;-;-;58
06.01.2020;20:00;-;-;-;-;-;60
06.01.2020;21:00;-;-;-;-;-;58
06.01.2020;22:00;-;-;-;-;-;55
