Datum;Uhrzeit;Generation_DE B[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE E[MW];Generation_DE D[MW]
01.01.2020;00:00;0;180;-;-;-
01.01.2020;01:00;0;147;-;-;-
01.01.2020;02:00;0;151;-;-;-
01.01.2020;03:00;0;217;-;-;-
01.01.2020;04:00;0;215;-;-;-
01.01.2020;05:00;0;212;-;-;-
01.01.2020;06:00;0;215;-;-;-
01.01.2020;07:00;0;217;-;-;-
01.01.2020;08:00;0;249;-;-;-
01.01.2020;09:00;0;253;-;-;-
01.01.2020;10:00;0;261;-;-;-
01.01.2020;11:00;0;261;-;-;-
01.01.2020;12:00;0;285;-;-;-
01.01.2020;13:00;0;293;-;-;-
01.01.2020;14:00;0;288;-;-;-
01.01.2020;15:00;0;287;-;-;-
01.01.2020;16:00;0;292;-;-;-
01.01.2020;17:00;0;296;-;-;-
01.01.2020;18:00;0;289;-;-;-
01.01.2020;19:00;0;287;-;-;-
01.01.2020;20:00;0;286;-;-;-
01.01.2020;21:00;0;291;-;-;-
01.01.2020;22:00;0;301;-;-;-
01.01.2020;23:00;0;300;-;-;-
02.01.2020;00:00;0;235;-;-;-
02.01.2020;01:00;0;198;-;-;-
02.01.2020;02:00;0;196;-;-;-
02.01.2020;03:00;0;197;-;-;-
02.01.2020;04:00;0;197;-;-;-
02.01.2020;05:00;0;156;-;-;-
02.01.2020;06:00;0;188;-;-;-
02.01.2020;07:00;0;186;-;-;-
02.01.2020;08:00;0;204;-;-;-
02.01.2020;09:00;0;207;-;-;-
02.01.2020;10:00;0;205;-;-;-
02.01.2020;11:00;0;206;-;-;-
02.01.2020;12:00;0;207;-;-;-
02.01.2020;13:00;0;250;-;-;-
02.01.2020;14:00;0;278;-;-;-
02.01.2020;15:00;0;279;-;-;-
02.01.2020;16:00;0;282;-;-;-
02.01.2020;17:00;0;281;-;-;-
02.01.2020;18:00;0;281;-;-;-
02.01.2020;19:00;0;279;-;-;-
02.01.2020;20:00;0;272;-;-;-
02.01.2020;21:00;0;264;-;-;-
02.01.2020;22:00;0;235;-;-;-
02.01.2020;23:00;0;159;-;-;-
03.01.2020;00:00;0;124;-;-;-
03.01.2020;01:00;0;126;-;-;-
03.01.2020;02:00;0;126;-;-;-
03.01.2020;03:00;0;127;-;-;-
03.01.2020;04:00;0;127;-;-;-
03.01.2020;05:00;7;165;-;-;-
03.01.2020;06:00;58;240;-;-;-
03.01.2020;07:00;140;176;-;-;-
03.01.2020;08:00;164;161;-;-;-
03.01.2020;09:00;176;138;-;-;-
03.01.2020;10:00;167;148;-;-;-
03.01.2020;11:00;166;145;-;-;-
03.01.2020;12:00;166;148;-;-;-
03.01.2020;13:00;175;147;-;-;-
03.01.2020;14:00;177;146;-;-;-
03.01.2020;15:00;176;149;-;-;-
03.01.2020;16:00;177;148;-;-;-
03.01.2020;17:00;176;151;-;-;-
03.01.2020;18:00;176;150;-;-;-
03.01.2020;19:00;175;148;-;-;-
03.01.2020;20:00;174;145;-;-;-
03.01.2020;21:00;164;139;-;-;-
03.01.2020;22:00;131;125;-;-;-
03.01.2020;23:00;121;126;-;-;-
04.01.2020;00:00;122;125;-;-;-
04.01.2020;01:00;122;127;-;-;-
04.01.2020;02:00;134;130;-;-;-
04.01.2020;03:00;137;129;-;-;-
04.01.2020;04:00;132;128;-;-;-
04.01.2020;05:00;127;128;-;-;-
04.01.2020;06:00;127;129;-;-;-
04.01.2020;07:00;159;147;-;-;-
04.01.2020;08:00;166;147;-;-;-
04.01.2020;09:00;169;147;-;-;-
04.01.2020;10:00;176;149;-;-;-
04.01.2020;11:00;175;147;-;-;-
04.01.2020;12:00;175;147;-;-;-
04.01.2020;13:00;175;146;-;-;-
04.01.2020;14:00;178;150;-;-;-
04.01.2020;15:00;261;246;-;-;-
04.01.2020;16:00;270;246;-;-;-
04.01.2020;17:00;187;158;-;-;-
04.01.2020;18:00;175;151;-;-;-
04.01.2020;19:00;175;148;-;-;-
04.01.2020;20:00;156;128;-;-;-
04.01.2020;21:00;126;126;-;-;-
04.01.2020;22:00;135;128;-;-;-
04.01.2020;23:00;138;129;-;-;-
05.01.2020;00:00;137;129;-;-;-
05.01.2020;01:00;136;128;-;-;-
05.01.2020;02:00;136;128;-;-;-
05.01.2020;03:00;136;127;-;-;-
05.01.2020;04:00;136;129;-;-;-
05.01.2020;05:00;136;128;-;-;-
05.01.2020;06:00;164;129;-;-;-
05.01.2020;07:00;167;148;-;-;-
05.01.2020;08:00;156;142;-;-;-
05.01.2020;09:00;162;141;-;-;-
05.01.2020;10:00;161;143;-;-;-
05.01.2020;11:00;161;142;-;-;-
05.01.2020;12:00;160;142;-;-;-
05.01.2020;13:00;161;142;-;-;-
05.01.2020;14:00;160;143;-;-;-
05.01.2020;15:00;161;142;-;-;-
05.01.2020;16:00;161;141;-;-;-
05.01.2020;17:00;218;147;-;-;-
05.01.2020;18:00;239;221;-;-;-
05.01.2020;19:00;238;220;-;-;-
05.01.2020;20:00;240;221;-;-;-
05.01.2020;21:00;239;222;-;-;-
05.01.2020;22:00;241;155;-;-;-
05.01.2020;23:00;215;144;-;-;-
06.01.2020;00:00;171;127;-;-;-
06.01.2020;01:00;133;130;-;-;-
06.01.2020;02:00;132;125;-;-;-
06.01.2020;03:00;132;120;-;-;-
06.01.2020;04:00;132;120;-;-;-
06.01.2020;05:00;167;121;-;-;-
06.01.2020;06:00;189;119;-;-;-
06.01.2020;07:00;205;121;-;-;-
06.01.2020;08:00;206;121;-;-;-
06.01.2020;09:00;204;120;-;-;-
06.01.2020;10:00;205;139;-;-;-
06.01.2020;11:00;241;234;-;-;-
06.01.2020;12:00;263;274;-;-;-
06.01.2020;13:00;269;293;-;-;-
06.01.2020;14:00;168;152;-;-;-
06.01.2020;15:00;156;167;-;-;-
06.01.2020;16:00;154;156;-;-;-
06.01.2020;17:00;150;151;-;-;-
06.01.2020;18:00;147;146;-;-;-
06.01.2020;19:00;161;184;-;-;-
06.01.2020;20:00;167;184;-;-;-
06.01.2020;21:00;167;143;-;-;-
06.01.2020;22:00;167;149;-;-;-
06.01.2020;23:00;151;146;-;-;-
07.01.2020;00:00;162;136;-;-;-
07.01.2020;01:00;174;159;-;-;-
07.01.2020;02:00;171;136;-;-;-
07.01.2020;03:00;173;0;-;-;-
07.01.2020;04:00;168;0;-;-;-
07.01.2020;05:00;161;0;-;-;-
07.01.2020;06:00;157;0;-;-;-
07.01.2020;07:00;159;0;-;-;-
07.01.2020;08:00;158;0;-;-;-
07.01.2020;09:00;159;0;-;-;-
07.01.2020;10:00;159;0;-;-;-
07.01.2020;11:00;158;0;-;-;-
07.01.2020;12:00;150;46;-;-;-
07.01.2020;13:00;129;162;-;-;-
07.01.2020;14:00;129;156;-;-;-
07.01.2020;15:00;127;156;-;-;-
07.01.2020;16:00;126;159;-;-;-
07.01.2020;17:00;139;159;-;-;-
07.01.2020;18:00;162;128;-;-;-
07.01.2020;19:00;162;128;-;-;-
07.01.2020;20:00;148;127;-;-;-
07.01.2020;21:00;146;127;-;-;-
07.01.2020;22:00;146;128;-;-;-
07.01.2020;23:00;139;127;-;-;-
08.01.2020;00:00;136;129;-;-;-
08.01.2020;01:00;135;127;-;-;-
08.01.2020;02:00;125;122;-;-;-
08.01.2020;03:00;119;116;-;-;-
08.01.2020;04:00;119;117;-;-;-
08.01.2020;05:00;135;132;-;-;-
08.01.2020;06:00;127;128;-;-;-
08.01.2020;07:00;131;128;-;-;-
08.01.2020;08:00;144;150;-;-;-
08.01.2020;09:00;141;158;-;-;-
08.01.2020;10:00;150;225;-;-;-
08.01.2020;11:00;143;152;-;-;-
08.01.2020;12:00;173;168;-;-;-
08.01.2020;13:00;175;184;-;-;-
08.01.2020;14:00;174;187;-;-;-
08.01.2020;15:00;175;187;-;-;-
08.01.2020;16:00;175;191;-;-;-
08.01.2020;17:00;175;196;-;-;-
08.01.2020;18:00;175;196;-;-;-
08.01.2020;19:00;174;196;-;-;-
08.01.2020;20:00;174;197;-;-;-
08.01.2020;21:00;177;197;-;-;-
08.01.2020;22:00;174;197;-;-;-
08.01.2020;23:00;175;204;-;-;-
09.01.2020;00:00;175;172;-;-;-
09.01.2020;01:00;162;127;-;-;-
09.01.2020;02:00;147;129;-;-;-
09.01.2020;03:00;147;129;-;-;-
09.01.2020;04:00;153;126;-;-;-
09.01.2020;05:00;172;181;-;-;-
09.01.2020;06:00;173;210;-;-;-
09.01.2020;07:00;174;228;-;-;-
09.01.2020;08:00;160;226;-;-;-
09.01.2020;09:00;145;206;-;-;-
09.01.2020;10:00;172;252;-;-;-
09.01.2020;11:00;175;262;-;-;-
09.01.2020;12:00;174;262;-;-;-
09.01.2020;13:00;175;263;-;-;-
09.01.2020;14:00;174;263;-;-;-
