Datum;Uhrzeit;Generation_DE A[MW];Generation_DE B[MW]
01.01.2020;00:00;0;726
01.01.2020;01:00;0;723
01.01.2020;02:00;0;728
01.01.2020;03:00;0;730
01.01.2020;04:00;0;733
01.01.2020;05:00;0;729
01.01.2020;06:00;0;730
01.01.2020;07:00;47;725
01.01.2020;08:00;281;710
01.01.2020;09:00;335;708
01.01.2020;10:00;390;721
01.01.2020;11:00;530;726
01.01.2020;12:00;620;721
01.01.2020;13:00;624;722
01.01.2020;14:00;729;738
01.01.2020;15:00;747;736
01.01.2020;16:00;745;738
01.01.2020;17:00;739;733
01.01.2020;18:00;716;722
01.01.2020;19:00;623;634
01.01.2020;20:00;713;713
01.01.2020;21:00;745;736
01.01.2020;22:00;747;740
01.01.2020;23:00;752;733
02.01.2020;00:00;743;733
02.01.2020;01:00;750;736
02.01.2020;02:00;752;736
02.01.2020;03:00;720;721
02.01.2020;04:00;589;594
02.01.2020;05:00;606;630
02.01.2020;06:00;647;710
02.01.2020;07:00;619;722
02.01.2020;08:00;697;735
02.01.2020;09:00;683;733
02.01.2020;10:00;681;727
02.01.2020;11:00;685;728
02.01.2020;12:00;697;732
02.01.2020;13:00;695;732
02.01.2020;14:00;665;169
02.01.2020;15:00;652;0
02.01.2020;16:00;652;0
02.01.2020;17:00;658;17
02.01.2020;18:00;653;304
02.01.2020;19:00;657;571
02.01.2020;20:00;674;731
02.01.2020;21:00;674;726
02.01.2020;22:00;674;731
02.01.2020;23:00;515;578
03.01.2020;00:00;476;593
03.01.2020;01:00;333;541
03.01.2020;02:00;333;416
03.01.2020;03:00;318;318
03.01.2020;04:00;307;313
03.01.2020;05:00;316;310
03.01.2020;06:00;332;299
03.01.2020;07:00;358;368
03.01.2020;08:00;378;439
03.01.2020;09:00;417;485
03.01.2020;10:00;547;623
03.01.2020;11:00;665;721
03.01.2020;12:00;686;721
03.01.2020;13:00;635;683
03.01.2020;14:00;645;682
03.01.2020;15:00;566;612
03.01.2020;16:00;609;654
03.01.2020;17:00;533;543
03.01.2020;18:00;388;394
03.01.2020;19:00;364;410
03.01.2020;20:00;334;308
03.01.2020;21:00;326;294
03.01.2020;22:00;326;291
03.01.2020;23:00;347;303
04.01.2020;00:00;312;278
04.01.2020;01:00;333;276
04.01.2020;02:00;345;283
04.01.2020;03:00;342;384
04.01.2020;04:00;333;285
04.01.2020;05:00;358;380
04.01.2020;06:00;362;371
04.01.2020;07:00;348;285
04.01.2020;08:00;323;291
04.01.2020;09:00;316;286
04.01.2020;10:00;313;291
04.01.2020;11:00;352;291
04.01.2020;12:00;434;358
04.01.2020;13:00;361;284
04.01.2020;14:00;370;300
04.01.2020;15:00;398;412
04.01.2020;16:00;486;340
04.01.2020;17:00;667;685
04.01.2020;18:00;706;723
04.01.2020;19:00;711;724
04.01.2020;20:00;711;733
04.01.2020;21:00;722;737
04.01.2020;22:00;719;738
04.01.2020;23:00;716;735
05.01.2020;00:00;702;725
05.01.2020;01:00;702;724
05.01.2020;02:00;715;734
05.01.2020;03:00;715;737
05.01.2020;04:00;730;739
05.01.2020;05:00;740;746
05.01.2020;06:00;748;748
05.01.2020;07:00;746;745
05.01.2020;08:00;746;747
05.01.2020;09:00;725;732
05.01.2020;10:00;731;735
05.01.2020;11:00;732;736
05.01.2020;12:00;727;734
05.01.2020;13:00;738;739
05.01.2020;14:00;725;733
05.01.2020;15:00;727;735
05.01.2020;16:00;737;742
05.01.2020;17:00;736;741
05.01.2020;18:00;741;747
05.01.2020;19:00;735;743
05.01.2020;20:00;737;741
05.01.2020;21:00;740;742
05.01.2020;22:00;739;747
05.01.2020;23:00;739;745
06.01.2020;00:00;734;746
06.01.2020;01:00;722;740
06.01.2020;02:00;728;735
06.01.2020;03:00;682;686
06.01.2020;04:00;715;718
06.01.2020;05:00;737;740
06.01.2020;06:00;710;732
06.01.2020;07:00;685;722
06.01.2020;08:00;692;730
06.01.2020;09:00;680;736
06.01.2020;10:00;665;722
06.01.2020;11:00;670;717
06.01.2020;12:00;670;720
06.01.2020;13:00;675;718
06.01.2020;14:00;671;719
06.01.2020;15:00;666;737
06.01.2020;16:00;663;724
06.01.2020;17:00;678;743
06.01.2020;18:00;686;740
06.01.2020;19:00;666;740
06.01.2020;20:00;651;713
06.01.2020;21:00;672;710
06.01.2020;22:00;669;720
