Datum;Uhrzeit;Generation_DE Block 2 Tiefstack[MW];Generation_DE Gas-und-Dampfturbinen Tiefstack[MW]
01.01.2020;00:00;147;-
01.01.2020;01:00;147;-
01.01.2020;02:00;147;-
01.01.2020;03:00;148;-
01.01.2020;04:00;148;-
01.01.2020;05:00;147;-
01.01.2020;06:00;145;-
01.01.2020;07:00;145;-
01.01.2020;08:00;147;-
01.01.2020;09:00;143;-
01.01.2020;10:00;141;-
01.01.2020;11:00;143;-
01.01.2020;12:00;145;-
01.01.2020;13:00;146;-
01.01.2020;14:00;145;-
01.01.2020;15:00;145;-
01.01.2020;16:00;144;-
01.01.2020;17:00;144;-
01.01.2020;18:00;145;-
01.01.2020;19:00;145;-
01.01.2020;20:00;146;-
01.01.2020;21:00;146;-
01.01.2020;22:00;147;-
01.01.2020;23:00;148;-
02.01.2020;00:00;146;-
02.01.2020;01:00;147;-
02.01.2020;02:00;145;-
02.01.2020;03:00;145;-
02.01.2020;04:00;146;-
02.01.2020;05:00;147;-
02.01.2020;06:00;146;-
02.01.2020;07:00;146;-
02.01.2020;08:00;146;-
02.01.2020;09:00;146;-
02.01.2020;10:00;146;-
02.01.2020;11:00;147;-
02.01.2020;12:00;147;-
02.01.2020;13:00;147;-
02.01.2020;14:00;147;-
02.01.2020;15:00;147;-
02.01.2020;16:00;149;-
02.01.2020;17:00;147;-
02.01.2020;18:00;146;-
02.01.2020;19:00;146;-
02.01.2020;20:00;148;-
02.01.2020;21:00;151;-
02.01.2020;22:00;153;-
02.01.2020;23:00;146;-
03.01.2020;00:00;143;-
03.01.2020;01:00;143;-
03.01.2020;02:00;144;-
03.01.2020;03:00;132;-
03.01.2020;04:00;133;-
03.01.2020;05:00;146;-
03.01.2020;06:00;144;-
03.01.2020;07:00;139;-
03.01.2020;08:00;139;-
03.01.2020;09:00;139;-
03.01.2020;10:00;141;-
03.01.2020;11:00;145;-
03.01.2020;12:00;147;-
03.01.2020;13:00;147;-
03.01.2020;14:00;149;-
03.01.2020;15:00;150;-
03.01.2020;16:00;146;-
03.01.2020;17:00;147;-
03.01.2020;18:00;148;-
03.01.2020;19:00;147;-
03.01.2020;20:00;147;-
03.01.2020;21:00;151;-
03.01.2020;22:00;148;-
03.01.2020;23:00;147;-
04.01.2020;00:00;147;-
04.01.2020;01:00;147;-
04.01.2020;02:00;147;-
04.01.2020;03:00;147;-
04.01.2020;04:00;146;-
04.01.2020;05:00;147;-
04.01.2020;06:00;147;-
04.01.2020;07:00;145;-
04.01.2020;08:00;146;-
04.01.2020;09:00;146;-
04.01.2020;10:00;146;-
04.01.2020;11:00;145;-
04.01.2020;12:00;144;-
04.01.2020;13:00;145;-
04.01.2020;14:00;146;-
04.01.2020;15:00;148;-
04.01.2020;16:00;146;-
04.01.2020;17:00;147;-
04.01.2020;18:00;148;-
04.01.2020;19:00;150;-
04.01.2020;20:00;149;-
04.01.2020;21:00;150;-
04.01.2020;22:00;148;-
04.01.2020;23:00;146;-
05.01.2020;00:00;144;-
05.01.2020;01:00;147;-
05.01.2020;02:00;146;-
05.01.2020;03:00;144;-
05.01.2020;04:00;144;-
05.01.2020;05:00;143;-
05.01.2020;06:00;142;-
05.01.2020;07:00;141;-
05.01.2020;08:00;119;-
05.01.2020;09:00;120;-
05.01.2020;10:00;122;-
05.01.2020;11:00;122;-
05.01.2020;12:00;121;-
05.01.2020;13:00;119;-
05.01.2020;14:00;118;-
05.01.2020;15:00;120;-
05.01.2020;16:00;122;-
05.01.2020;17:00;125;-
05.01.2020;18:00;147;-
05.01.2020;19:00;152;-
05.01.2020;20:00;149;-
05.01.2020;21:00;151;-
05.01.2020;22:00;151;-
05.01.2020;23:00;148;-
06.01.2020;00:00;148;-
06.01.2020;01:00;148;-
06.01.2020;02:00;148;-
06.01.2020;03:00;148;-
06.01.2020;04:00;148;-
06.01.2020;05:00;149;-
06.01.2020;06:00;152;-
06.01.2020;07:00;148;-
06.01.2020;08:00;147;-
06.01.2020;09:00;146;-
06.01.2020;10:00;146;-
06.01.2020;11:00;147;-
06.01.2020;12:00;147;-
06.01.2020;13:00;148;-
06.01.2020;14:00;147;-
06.01.2020;15:00;144;-
06.01.2020;16:00;144;-
06.01.2020;17:00;147;-
06.01.2020;18:00;148;-
06.01.2020;19:00;149;-
06.01.2020;20:00;150;-
06.01.2020;21:00;149;-
06.01.2020;22:00;149;-
06.01.2020;23:00;147;-
07.01.2020;00:00;147;-
07.01.2020;01:00;146;-
07.01.2020;02:00;147;-
07.01.2020;03:00;147;-
07.01.2020;04:00;147;-
