Datum;Uhrzeit;Generation_DE Trianel Kohlekraftwerk Lünen[MW]
01.01.2020;00:00;0
01.01.2020;01:00;0
01.01.2020;02:00;0
01.01.2020;03:00;0
01.01.2020;04:00;0
01.01.2020;05:00;0
01.01.2020;06:00;0
01.01.2020;07:00;0
01.01.2020;08:00;0
01.01.2020;09:00;0
01.01.2020;10:00;0
01.01.2020;11:00;0
01.01.2020;12:00;0
01.01.2020;13:00;0
01.01.2020;14:00;0
01.01.2020;15:00;0
01.01.2020;16:00;0
01.01.2020;17:00;0
01.01.2020;18:00;0
01.01.2020;19:00;0
01.01.2020;20:00;0
01.01.2020;21:00;0
01.01.2020;22:00;0
01.01.2020;23:00;0
02.01.2020;00:00;0
02.01.2020;01:00;0
02.01.2020;02:00;0
02.01.2020;03:00;0
02.01.2020;04:00;0
02.01.2020;05:00;0
02.01.2020;06:00;0
02.01.2020;07:00;0
02.01.2020;08:00;0
02.01.2020;09:00;0
02.01.2020;10:00;0
02.01.2020;11:00;0
02.01.2020;12:00;0
02.01.2020;13:00;0
02.01.2020;14:00;0
02.01.2020;15:00;0
02.01.2020;16:00;0
02.01.2020;17:00;0
02.01.2020;18:00;0
02.01.2020;19:00;0
02.01.2020;20:00;0
02.01.2020;21:00;0
02.01.2020;22:00;0
02.01.2020;23:00;0
03.01.2020;00:00;0
03.01.2020;01:00;0
03.01.2020;02:00;0
03.01.2020;03:00;0
03.01.2020;04:00;0
03.01.2020;05:00;0
03.01.2020;06:00;0
03.01.2020;07:00;0
03.01.2020;08:00;0
03.01.2020;09:00;0
03.01.2020;10:00;0
03.01.2020;11:00;0
03.01.2020;12:00;0
03.01.2020;13:00;0
03.01.2020;14:00;0
03.01.2020;15:00;0
03.01.2020;16:00;0
03.01.2020;17:00;0
03.01.2020;18:00;0
03.01.2020;19:00;0
03.01.2020;20:00;0
03.01.2020;21:00;0
03.01.2020;22:00;0
03.01.2020;23:00;0
04.01.2020;00:00;0
04.01.2020;01:00;0
04.01.2020;02:00;0
04.01.2020;03:00;0
04.01.2020;04:00;0
04.01.2020;05:00;0
04.01.2020;06:00;0
04.01.2020;07:00;0
04.01.2020;08:00;0
04.01.2020;09:00;0
04.01.2020;10:00;0
04.01.2020;11:00;0
04.01.2020;12:00;0
04.01.2020;13:00;0
04.01.2020;14:00;0
04.01.2020;15:00;0
04.01.2020;16:00;0
04.01.2020;17:00;0
04.01.2020;18:00;0
04.01.2020;19:00;0
04.01.2020;20:00;0
04.01.2020;21:00;0
04.01.2020;22:00;0
04.01.2020;23:00;0
05.01.2020;00:00;0
05.01.2020;01:00;0
05.01.2020;02:00;0
05.01.2020;03:00;0
05.01.2020;04:00;0
05.01.2020;05:00;0
05.01.2020;06:00;0
05.01.2020;07:00;0
05.01.2020;08:00;0
05.01.2020;09:00;0
05.01.2020;10:00;0
05.01.2020;11:00;0
05.01.2020;12:00;0
05.01.2020;13:00;0
05.01.2020;14:00;0
05.01.2020;15:00;0
05.01.2020;16:00;0
05.01.2020;17:00;0
05.01.2020;18:00;0
05.01.2020;19:00;0
05.01.2020;20:00;0
05.01.2020;21:00;0
05.01.2020;22:00;0
05.01.2020;23:00;0
06.01.2020;00:00;0
06.01.2020;01:00;0
06.01.2020;02:00;147
06.01.2020;03:00;260
06.01.2020;04:00;337
06.01.2020;05:00;412
06.01.2020;06:00;471
06.01.2020;07:00;569
06.01.2020;08:00;721
06.01.2020;09:00;728
06.01.2020;10:00;705
06.01.2020;11:00;724
06.01.2020;12:00;625
06.01.2020;13:00;534
06.01.2020;14:00;717
06.01.2020;15:00;710
06.01.2020;16:00;701
06.01.2020;17:00;712
06.01.2020;18:00;721
06.01.2020;19:00;721
06.01.2020;20:00;683
06.01.2020;21:00;536
06.01.2020;22:00;544
06.01.2020;23:00;336
07.01.2020;00:00;302
07.01.2020;01:00;318
07.01.2020;02:00;309
07.01.2020;03:00;308
07.01.2020;04:00;308
07.01.2020;05:00;352
07.01.2020;06:00;584
07.01.2020;07:00;721
07.01.2020;08:00;715
07.01.2020;09:00;721
07.01.2020;10:00;721
07.01.2020;11:00;704
07.01.2020;12:00;669
07.01.2020;13:00;562
07.01.2020;14:00;714
07.01.2020;15:00;699
07.01.2020;16:00;710
07.01.2020;17:00;698
07.01.2020;18:00;616
07.01.2020;19:00;621
07.01.2020;20:00;364
07.01.2020;21:00;369
07.01.2020;22:00;526
07.01.2020;23:00;352
08.01.2020;00:00;307
08.01.2020;01:00;304
08.01.2020;02:00;308
08.01.2020;03:00;202
08.01.2020;04:00;157
08.01.2020;05:00;153
08.01.2020;06:00;190
08.01.2020;07:00;400
08.01.2020;08:00;619
08.01.2020;09:00;690
08.01.2020;10:00;709
08.01.2020;11:00;721
08.01.2020;12:00;702
08.01.2020;13:00;721
08.01.2020;14:00;721
08.01.2020;15:00;721
08.01.2020;16:00;721
08.01.2020;17:00;705
08.01.2020;18:00;656
08.01.2020;19:00;608
08.01.2020;20:00;694
08.01.2020;21:00;665
08.01.2020;22:00;722
08.01.2020;23:00;716
09.01.2020;00:00;556
09.01.2020;01:00;429
09.01.2020;02:00;449
09.01.2020;03:00;310
09.01.2020;04:00;308
09.01.2020;05:00;341
09.01.2020;06:00;675
09.01.2020;07:00;722
09.01.2020;08:00;679
09.01.2020;09:00;480
09.01.2020;10:00;484
09.01.2020;11:00;320
09.01.2020;12:00;307
09.01.2020;13:00;326
09.01.2020;14:00;364
09.01.2020;15:00;370
09.01.2020;16:00;610
09.01.2020;17:00;692
09.01.2020;18:00;707
09.01.2020;19:00;694
09.01.2020;20:00;494
09.01.2020;21:00;554
09.01.2020;22:00;545
09.01.2020;23:00;507
10.01.2020;00:00;391
10.01.2020;01:00;309
10.01.2020;02:00;312
10.01.2020;03:00;307
10.01.2020;04:00;353
10.01.2020;05:00;588
10.01.2020;06:00;584
10.01.2020;07:00;718
10.01.2020;08:00;704
10.01.2020;09:00;703
10.01.2020;10:00;721
10.01.2020;11:00;646
10.01.2020;12:00;619
10.01.2020;13:00;630
10.01.2020;14:00;721
10.01.2020;15:00;714
10.01.2020;16:00;684
10.01.2020;17:00;543
10.01.2020;18:00;704
10.01.2020;19:00;721
10.01.2020;20:00;713
10.01.2020;21:00;451
10.01.2020;22:00;338
10.01.2020;23:00;305
11.01.2020;00:00;306
