Datum;Uhrzeit;Generation_DE M6[MW];Generation_DE M5[MW]
01.01.2020;00:00;0;0
01.01.2020;01:00;0;0
01.01.2020;02:00;0;0
01.01.2020;03:00;0;0
01.01.2020;04:00;0;0
01.01.2020;05:00;0;0
01.01.2020;06:00;0;0
01.01.2020;07:00;0;0
01.01.2020;08:00;0;0
01.01.2020;09:00;0;0
01.01.2020;10:00;0;0
01.01.2020;11:00;0;0
01.01.2020;12:00;0;0
01.01.2020;13:00;0;0
01.01.2020;14:00;0;0
01.01.2020;15:00;54;85
01.01.2020;16:00;92;94
01.01.2020;17:00;205;207
01.01.2020;18:00;225;226
01.01.2020;19:00;139;141
01.01.2020;20:00;179;180
01.01.2020;21:00;147;149
01.01.2020;22:00;126;129
01.01.2020;23:00;86;23
02.01.2020;00:00;1;0
02.01.2020;01:00;0;0
02.01.2020;02:00;0;0
02.01.2020;03:00;0;0
02.01.2020;04:00;0;0
02.01.2020;05:00;0;0
02.01.2020;06:00;0;0
02.01.2020;07:00;92;93
02.01.2020;08:00;199;201
02.01.2020;09:00;189;190
02.01.2020;10:00;181;183
02.01.2020;11:00;61;2
02.01.2020;12:00;0;0
02.01.2020;13:00;18;0
02.01.2020;14:00;55;0
02.01.2020;15:00;56;0
02.01.2020;16:00;3;66
02.01.2020;17:00;198;208
02.01.2020;18:00;125;127
02.01.2020;19:00;33;33
02.01.2020;20:00;0;0
02.01.2020;21:00;0;0
02.01.2020;22:00;0;0
02.01.2020;23:00;0;0
03.01.2020;00:00;0;0
03.01.2020;01:00;0;0
03.01.2020;02:00;0;0
03.01.2020;03:00;0;0
03.01.2020;04:00;0;0
03.01.2020;05:00;0;0
03.01.2020;06:00;0;0
03.01.2020;07:00;0;0
03.01.2020;08:00;0;0
03.01.2020;09:00;0;0
03.01.2020;10:00;0;0
03.01.2020;11:00;0;0
03.01.2020;12:00;0;0
03.01.2020;13:00;0;0
03.01.2020;14:00;0;0
03.01.2020;15:00;156;145
03.01.2020;16:00;54;51
03.01.2020;17:00;55;22
03.01.2020;18:00;19;22
03.01.2020;19:00;149;151
03.01.2020;20:00;148;150
03.01.2020;21:00;132;135
03.01.2020;22:00;208;209
03.01.2020;23:00;151;153
04.01.2020;00:00;18;1
04.01.2020;01:00;0;0
04.01.2020;02:00;0;0
04.01.2020;03:00;0;0
04.01.2020;04:00;0;0
04.01.2020;05:00;0;0
04.01.2020;06:00;0;0
04.01.2020;07:00;0;0
04.01.2020;08:00;0;0
04.01.2020;09:00;0;0
04.01.2020;10:00;0;0
04.01.2020;11:00;0;0
04.01.2020;12:00;29;0
04.01.2020;13:00;45;0
04.01.2020;14:00;1;0
04.01.2020;15:00;55;0
04.01.2020;16:00;172;147
04.01.2020;17:00;178;180
04.01.2020;18:00;216;217
04.01.2020;19:00;199;200
04.01.2020;20:00;97;100
04.01.2020;21:00;165;167
04.01.2020;22:00;176;177
04.01.2020;23:00;23;1
05.01.2020;00:00;27;0
05.01.2020;01:00;0;0
05.01.2020;02:00;0;0
05.01.2020;03:00;0;0
05.01.2020;04:00;0;0
05.01.2020;05:00;0;0
05.01.2020;06:00;0;0
05.01.2020;07:00;0;0
05.01.2020;08:00;0;0
05.01.2020;09:00;0;0
05.01.2020;10:00;0;0
05.01.2020;11:00;0;0
05.01.2020;12:00;0;0
05.01.2020;13:00;74;0
05.01.2020;14:00;45;0
05.01.2020;15:00;154;0
05.01.2020;16:00;126;142
05.01.2020;17:00;238;239
05.01.2020;18:00;235;235
05.01.2020;19:00;210;209
05.01.2020;20:00;179;174
05.01.2020;21:00;61;89
05.01.2020;22:00;0;0
05.01.2020;23:00;0;0
06.01.2020;00:00;0;0
06.01.2020;01:00;0;0
06.01.2020;02:00;0;0
06.01.2020;03:00;0;0
06.01.2020;04:00;0;0
06.01.2020;05:00;0;0
06.01.2020;06:00;0;0
06.01.2020;07:00;142;142
06.01.2020;08:00;156;158
06.01.2020;09:00;102;104
06.01.2020;10:00;0;0
06.01.2020;11:00;0;0
06.01.2020;12:00;0;17
06.01.2020;13:00;0;45
06.01.2020;14:00;0;81
06.01.2020;15:00;66;58
06.01.2020;16:00;211;139
06.01.2020;17:00;238;237
06.01.2020;18:00;196;229
06.01.2020;19:00;100;126
06.01.2020;20:00;53;47
06.01.2020;21:00;0;0
06.01.2020;22:00;0;0
06.01.2020;23:00;0;0
07.01.2020;00:00;0;0
07.01.2020;01:00;0;0
07.01.2020;02:00;0;0
07.01.2020;03:00;0;0
07.01.2020;04:00;0;0
07.01.2020;05:00;0;0
07.01.2020;06:00;0;0
07.01.2020;07:00;61;77
07.01.2020;08:00;86;169
07.01.2020;09:00;112;135
07.01.2020;10:00;51;111
07.01.2020;11:00;26;1
07.01.2020;12:00;32;0
07.01.2020;13:00;34;0
07.01.2020;14:00;63;29
07.01.2020;15:00;61;0
07.01.2020;16:00;106;50
07.01.2020;17:00;89;93
07.01.2020;18:00;21;81
07.01.2020;19:00;13;56
07.01.2020;20:00;0;4
07.01.2020;21:00;0;0
07.01.2020;22:00;0;0
07.01.2020;23:00;0;0
08.01.2020;00:00;0;0
08.01.2020;01:00;0;0
08.01.2020;02:00;0;0
08.01.2020;03:00;0;0
08.01.2020;04:00;0;0
08.01.2020;05:00;0;0
08.01.2020;06:00;0;0
08.01.2020;07:00;0;81
08.01.2020;08:00;0;175
08.01.2020;09:00;0;88
08.01.2020;10:00;0;145
08.01.2020;11:00;0;178
08.01.2020;12:00;0;5
08.01.2020;13:00;0;0
08.01.2020;14:00;6;0
08.01.2020;15:00;180;64
08.01.2020;16:00;159;161
08.01.2020;17:00;178;179
08.01.2020;18:00;170;172
08.01.2020;19:00;155;157
08.01.2020;20:00;97;99
08.01.2020;21:00;75;77
08.01.2020;22:00;0;0
08.01.2020;23:00;0;0
09.01.2020;00:00;0;0
09.01.2020;01:00;0;0
09.01.2020;02:00;0;0
09.01.2020;03:00;0;0
09.01.2020;04:00;0;0
09.01.2020;05:00;0;0
09.01.2020;06:00;74;75
09.01.2020;07:00;171;172
09.01.2020;08:00;116;118
09.01.2020;09:00;49;51
09.01.2020;10:00;0;0
09.01.2020;11:00;0;0
09.01.2020;12:00;0;0
09.01.2020;13:00;0;0
09.01.2020;14:00;0;0
09.01.2020;15:00;42;0
09.01.2020;16:00;47;0
09.01.2020;17:00;22;0
09.01.2020;18:00;22;0
09.01.2020;19:00;23;0
09.01.2020;20:00;3;0
09.01.2020;21:00;0;0
09.01.2020;22:00;0;0
09.01.2020;23:00;0;0
10.01.2020;00:00;0;0
10.01.2020;01:00;0;0
10.01.2020;02:00;0;0
10.01.2020;03:00;0;0
10.01.2020;04:00;0;0
10.01.2020;05:00;0;0
10.01.2020;06:00;0;0
10.01.2020;07:00;0;1
10.01.2020;08:00;0;22
10.01.2020;09:00;0;22
10.01.2020;10:00;0;27
10.01.2020;11:00;0;24
10.01.2020;12:00;0;4
10.01.2020;13:00;0;0
10.01.2020;14:00;0;0
10.01.2020;15:00;0;0
10.01.2020;16:00;94;88
10.01.2020;17:00;114;131
10.01.2020;18:00;230;206
10.01.2020;19:00;197;178
10.01.2020;20:00;115;109
10.01.2020;21:00;80;102
10.01.2020;22:00;0;0
