Datum;Uhrzeit;Generation_DE Wehr[MW]
01.01.2020;00:00;95
01.01.2020;01:00;0
01.01.2020;02:00;28
01.01.2020;03:00;0
01.01.2020;04:00;0
01.01.2020;05:00;0
01.01.2020;06:00;0
01.01.2020;07:00;0
01.01.2020;08:00;0
01.01.2020;09:00;0
01.01.2020;10:00;0
01.01.2020;11:00;0
01.01.2020;12:00;0
01.01.2020;13:00;0
01.01.2020;14:00;0
01.01.2020;15:00;159
01.01.2020;16:00;169
01.01.2020;17:00;4
01.01.2020;18:00;0
01.01.2020;19:00;0
01.01.2020;20:00;0
01.01.2020;21:00;6
01.01.2020;22:00;56
01.01.2020;23:00;15
02.01.2020;00:00;0
02.01.2020;01:00;0
02.01.2020;02:00;0
02.01.2020;03:00;0
02.01.2020;04:00;0
02.01.2020;05:00;0
02.01.2020;06:00;0
02.01.2020;07:00;6
02.01.2020;08:00;217
02.01.2020;09:00;200
02.01.2020;10:00;209
02.01.2020;11:00;215
02.01.2020;12:00;200
02.01.2020;13:00;200
02.01.2020;14:00;6
02.01.2020;15:00;0
02.01.2020;16:00;15
02.01.2020;17:00;21
02.01.2020;18:00;167
02.01.2020;19:00;81
02.01.2020;20:00;56
02.01.2020;21:00;0
02.01.2020;22:00;0
02.01.2020;23:00;0
03.01.2020;00:00;0
03.01.2020;01:00;0
03.01.2020;02:00;0
03.01.2020;03:00;0
03.01.2020;04:00;0
03.01.2020;05:00;0
03.01.2020;06:00;0
03.01.2020;07:00;0
03.01.2020;08:00;0
03.01.2020;09:00;0
03.01.2020;10:00;0
03.01.2020;11:00;0
03.01.2020;12:00;0
03.01.2020;13:00;0
03.01.2020;14:00;0
03.01.2020;15:00;14
03.01.2020;16:00;175
03.01.2020;17:00;206
03.01.2020;18:00;194
03.01.2020;19:00;218
03.01.2020;20:00;220
03.01.2020;21:00;220
03.01.2020;22:00;56
03.01.2020;23:00;0
04.01.2020;00:00;0
04.01.2020;01:00;0
04.01.2020;02:00;0
04.01.2020;03:00;0
04.01.2020;04:00;0
04.01.2020;05:00;0
04.01.2020;06:00;0
04.01.2020;07:00;0
04.01.2020;08:00;0
