Datum;Uhrzeit;Generation_DE D[MW];Generation_DE C[MW];Generation_DE H_VGT[MW];Generation_DE G_VGT[MW];Generation_DE F[MW];Generation_DE H[MW];Generation_DE G[MW];Generation_DE E[MW]
01.01.2020;00:00;-;-;0;0;0;636;0;309
01.01.2020;01:00;-;-;0;0;0;635;0;305
01.01.2020;02:00;-;-;0;0;0;634;0;218
01.01.2020;03:00;-;-;0;0;0;629;0;192
01.01.2020;04:00;-;-;0;0;0;630;0;194
01.01.2020;05:00;-;-;0;0;0;630;0;192
01.01.2020;06:00;-;-;0;0;0;604;0;193
01.01.2020;07:00;-;-;0;0;0;562;0;193
01.01.2020;08:00;-;-;0;0;0;553;0;193
01.01.2020;09:00;-;-;0;0;0;621;0;193
01.01.2020;10:00;-;-;0;0;0;620;0;194
01.01.2020;11:00;-;-;0;0;0;421;0;194
01.01.2020;12:00;-;-;0;0;0;319;0;193
01.01.2020;13:00;-;-;0;0;0;322;0;193
01.01.2020;14:00;-;-;0;0;0;496;0;193
01.01.2020;15:00;-;-;0;0;0;630;0;193
01.01.2020;16:00;-;-;0;0;0;619;0;252
01.01.2020;17:00;-;-;0;0;0;628;0;306
01.01.2020;18:00;-;-;0;0;0;629;0;300
01.01.2020;19:00;-;-;0;0;0;630;0;307
01.01.2020;20:00;-;-;0;0;0;629;0;306
01.01.2020;21:00;-;-;0;0;0;633;0;307
01.01.2020;22:00;-;-;0;0;0;630;0;306
01.01.2020;23:00;-;-;0;0;0;631;0;306
02.01.2020;00:00;-;-;0;0;0;612;0;304
02.01.2020;01:00;-;-;0;0;0;610;0;304
02.01.2020;02:00;-;-;0;0;0;489;0;265
02.01.2020;03:00;-;-;0;0;0;557;0;194
02.01.2020;04:00;-;-;0;0;0;630;0;195
02.01.2020;05:00;-;-;0;0;0;633;0;201
02.01.2020;06:00;-;-;0;0;0;630;0;292
02.01.2020;07:00;-;-;137;0;0;643;0;308
02.01.2020;08:00;-;-;201;0;0;639;0;309
02.01.2020;09:00;-;-;201;0;0;641;0;308
02.01.2020;10:00;-;-;202;0;0;641;0;304
02.01.2020;11:00;-;-;200;0;0;640;0;305
02.01.2020;12:00;-;-;198;0;0;640;0;304
02.01.2020;13:00;-;-;196;0;0;639;0;306
02.01.2020;14:00;-;-;196;0;0;638;0;305
02.01.2020;15:00;-;-;194;0;0;644;0;307
02.01.2020;16:00;-;-;193;0;0;642;0;313
02.01.2020;17:00;-;-;194;0;0;642;0;316
02.01.2020;18:00;-;-;194;0;0;643;0;318
02.01.2020;19:00;-;-;194;0;0;645;0;314
02.01.2020;20:00;-;-;161;0;0;618;0;317
02.01.2020;21:00;-;-;0;0;0;596;0;268
02.01.2020;22:00;-;-;0;0;0;517;0;193
02.01.2020;23:00;-;-;0;0;0;337;0;189
03.01.2020;00:00;-;-;0;0;0;263;0;190
03.01.2020;01:00;-;-;0;0;0;253;0;192
03.01.2020;02:00;-;-;0;0;0;252;0;192
03.01.2020;03:00;-;-;0;0;0;294;0;193
03.01.2020;04:00;-;-;0;0;0;294;0;192
03.01.2020;05:00;-;-;0;0;0;293;0;190
03.01.2020;06:00;-;-;0;0;0;291;0;191
03.01.2020;07:00;-;-;0;0;0;292;0;192
03.01.2020;08:00;-;-;0;0;0;293;0;193
03.01.2020;09:00;-;-;0;0;0;279;0;192
03.01.2020;10:00;-;-;0;0;0;277;0;191
03.01.2020;11:00;-;-;0;0;0;318;0;191
03.01.2020;12:00;-;-;0;0;0;594;0;194
03.01.2020;13:00;-;-;0;0;0;651;0;194
03.01.2020;14:00;-;-;0;0;0;654;0;192
03.01.2020;15:00;-;-;0;0;0;654;0;194
03.01.2020;16:00;-;-;0;0;0;648;0;194
03.01.2020;17:00;-;-;0;0;0;591;0;193
03.01.2020;18:00;-;-;0;0;0;432;0;193
03.01.2020;19:00;-;-;0;0;0;273;0;190
03.01.2020;20:00;-;-;0;0;0;290;0;192
03.01.2020;21:00;-;-;0;0;0;303;0;192
03.01.2020;22:00;-;-;0;0;0;305;0;190
03.01.2020;23:00;-;-;0;0;0;294;0;194
04.01.2020;00:00;-;-;0;0;0;298;0;191
04.01.2020;01:00;-;-;0;0;0;294;0;193
04.01.2020;02:00;-;-;0;0;0;298;0;194
04.01.2020;03:00;-;-;0;0;0;295;0;193
04.01.2020;04:00;-;-;0;0;0;298;0;193
04.01.2020;05:00;-;-;0;0;0;302;0;193
04.01.2020;06:00;-;-;0;0;0;307;0;194
04.01.2020;07:00;-;-;0;0;0;305;0;193
04.01.2020;08:00;-;-;0;0;0;316;0;192
04.01.2020;09:00;-;-;0;0;0;336;0;192
04.01.2020;10:00;-;-;0;0;0;303;0;192
04.01.2020;11:00;-;-;0;0;0;293;0;193
04.01.2020;12:00;-;-;0;0;0;294;0;191
04.01.2020;13:00;-;-;0;0;0;295;0;194
04.01.2020;14:00;-;-;0;0;0;292;0;191
04.01.2020;15:00;-;-;0;0;0;294;0;193
04.01.2020;16:00;-;-;0;0;0;428;0;193
04.01.2020;17:00;-;-;0;0;0;530;0;193
04.01.2020;18:00;-;-;0;0;0;613;0;192
04.01.2020;19:00;-;-;0;0;0;654;0;192
04.01.2020;20:00;-;-;0;0;0;654;0;193
04.01.2020;21:00;-;-;0;0;0;565;0;198
04.01.2020;22:00;-;-;0;0;0;657;0;291
04.01.2020;23:00;-;-;0;0;0;656;0;315
05.01.2020;00:00;-;-;0;0;0;651;0;237
05.01.2020;01:00;-;-;0;0;0;652;0;192
05.01.2020;02:00;-;-;0;0;0;464;0;189
05.01.2020;03:00;-;-;0;0;0;513;0;190
05.01.2020;04:00;-;-;0;0;0;609;0;191
05.01.2020;05:00;-;-;0;0;0;577;0;192
05.01.2020;06:00;-;-;0;0;0;613;0;193
05.01.2020;07:00;-;-;0;0;0;655;0;191
05.01.2020;08:00;-;-;0;0;0;653;0;240
05.01.2020;09:00;-;-;0;0;0;655;0;309
05.01.2020;10:00;-;-;0;0;0;653;0;313
05.01.2020;11:00;-;-;0;0;0;651;0;311
05.01.2020;12:00;-;-;0;0;0;632;0;219
05.01.2020;13:00;-;-;0;0;0;641;0;191
05.01.2020;14:00;-;-;0;0;0;651;0;263
05.01.2020;15:00;-;-;0;0;0;655;0;317
05.01.2020;16:00;-;-;0;0;0;654;0;316
05.01.2020;17:00;-;-;0;0;0;653;0;315
05.01.2020;18:00;-;-;0;0;0;649;0;309
05.01.2020;19:00;-;-;0;0;0;654;0;306
05.01.2020;20:00;-;-;0;0;0;654;0;311
05.01.2020;21:00;-;-;0;0;0;655;0;316
05.01.2020;22:00;-;-;0;0;0;656;0;318
05.01.2020;23:00;-;-;0;0;0;501;0;260
06.01.2020;00:00;-;-;0;0;0;306;0;193
06.01.2020;01:00;-;-;0;0;0;292;0;192
06.01.2020;02:00;-;-;0;0;0;311;0;194
06.01.2020;03:00;-;-;0;0;0;294;0;192
06.01.2020;04:00;-;-;0;0;0;504;0;192
06.01.2020;05:00;-;-;0;0;0;654;0;230
06.01.2020;06:00;-;-;0;0;0;647;0;309
06.01.2020;07:00;-;-;0;0;0;650;0;314
06.01.2020;08:00;-;-;0;0;0;651;0;311
06.01.2020;09:00;-;-;0;0;0;652;0;312
06.01.2020;10:00;-;-;0;0;0;654;0;312
06.01.2020;11:00;-;-;0;0;0;655;0;314
06.01.2020;12:00;-;-;0;0;0;652;0;312
06.01.2020;13:00;-;-;0;0;0;655;0;315
06.01.2020;14:00;-;-;0;0;0;656;0;317
06.01.2020;15:00;-;-;0;0;0;653;0;315
06.01.2020;16:00;-;-;0;0;0;652;0;316
06.01.2020;17:00;-;-;0;0;0;654;0;318
06.01.2020;18:00;-;-;0;0;0;656;0;320
06.01.2020;19:00;-;-;0;0;0;655;0;318
06.01.2020;20:00;-;-;0;0;0;649;0;306
06.01.2020;21:00;-;-;0;0;0;648;0;203
06.01.2020;22:00;-;-;0;0;0;643;0;195
06.01.2020;23:00;-;-;0;0;0;625;0;192
07.01.2020;00:00;-;-;0;0;0;637;0;190
07.01.2020;01:00;-;-;0;0;0;595;0;192
07.01.2020;02:00;-;-;0;0;0;502;0;193
07.01.2020;03:00;-;-;0;0;0;461;0;194
07.01.2020;04:00;-;-;0;0;0;599;69;192
07.01.2020;05:00;-;-;0;0;0;652;235;190
07.01.2020;06:00;-;-;25;0;0;636;459;262
07.01.2020;07:00;-;-;189;0;0;652;658;316
07.01.2020;08:00;-;-;191;0;0;663;660;318
07.01.2020;09:00;-;-;192;0;0;660;662;319
07.01.2020;10:00;-;-;192;0;0;662;658;318
07.01.2020;11:00;-;-;192;0;0;662;657;317
07.01.2020;12:00;-;-;192;0;0;662;657;318
07.01.2020;13:00;-;-;191;0;0;662;658;316
07.01.2020;14:00;-;-;191;0;0;659;659;316
07.01.2020;15:00;-;-;191;0;0;663;658;318
07.01.2020;16:00;-;-;192;0;0;662;658;316
07.01.2020;17:00;-;-;193;0;0;663;658;317
07.01.2020;18:00;-;-;192;0;0;663;659;319
07.01.2020;19:00;-;-;150;0;0;661;659;317
07.01.2020;20:00;-;-;0;0;0;631;658;310
07.01.2020;21:00;-;-;0;0;0;659;658;210
07.01.2020;22:00;-;-;0;0;0;661;659;192
07.01.2020;23:00;-;-;0;0;0;513;522;191
08.01.2020;00:00;-;-;0;0;0;299;319;190
08.01.2020;01:00;-;-;0;0;0;291;309;192
08.01.2020;02:00;-;-;0;0;0;291;309;192
08.01.2020;03:00;-;-;0;0;0;291;280;192
08.01.2020;04:00;-;-;0;0;0;297;267;191
08.01.2020;05:00;-;-;0;0;0;342;372;191
08.01.2020;06:00;-;-;0;0;0;544;453;204
08.01.2020;07:00;-;-;0;0;0;633;597;300
08.01.2020;08:00;-;-;0;0;0;639;657;317
08.01.2020;09:00;-;-;0;0;0;638;656;319
08.01.2020;10:00;-;-;2;0;0;631;657;317
08.01.2020;11:00;-;-;173;0;0;649;650;316
08.01.2020;12:00;-;-;185;122;0;658;635;318
08.01.2020;13:00;-;-;186;1;0;658;624;318
08.01.2020;14:00;-;-;186;58;0;658;631;316
08.01.2020;15:00;-;-;187;191;0;660;642;317
08.01.2020;16:00;-;-;187;192;0;663;661;316
08.01.2020;17:00;-;-;187;193;0;660;656;317
08.01.2020;18:00;-;-;187;194;0;657;659;317
