Datum;Uhrzeit;Generation_DE Witznau[MW]
01.01.2020;00:00;0
01.01.2020;01:00;0
01.01.2020;02:00;0
01.01.2020;03:00;0
01.01.2020;04:00;0
01.01.2020;05:00;0
01.01.2020;06:00;0
01.01.2020;07:00;0
01.01.2020;08:00;0
01.01.2020;09:00;0
01.01.2020;10:00;0
01.01.2020;11:00;0
01.01.2020;12:00;0
01.01.2020;13:00;0
01.01.2020;14:00;0
01.01.2020;15:00;0
01.01.2020;16:00;21
01.01.2020;17:00;56
01.01.2020;18:00;26
01.01.2020;19:00;36
01.01.2020;20:00;29
01.01.2020;21:00;44
01.01.2020;22:00;47
01.01.2020;23:00;25
02.01.2020;00:00;6
02.01.2020;01:00;8
02.01.2020;02:00;0
02.01.2020;03:00;0
02.01.2020;04:00;0
02.01.2020;05:00;0
02.01.2020;06:00;0
02.01.2020;07:00;10
02.01.2020;08:00;87
02.01.2020;09:00;79
02.01.2020;10:00;78
02.01.2020;11:00;74
02.01.2020;12:00;84
02.01.2020;13:00;90
02.01.2020;14:00;46
02.01.2020;15:00;35
02.01.2020;16:00;29
02.01.2020;17:00;8
02.01.2020;18:00;54
02.01.2020;19:00;39
02.01.2020;20:00;52
02.01.2020;21:00;31
02.01.2020;22:00;25
02.01.2020;23:00;28
03.01.2020;00:00;0
03.01.2020;01:00;0
03.01.2020;02:00;0
03.01.2020;03:00;0
03.01.2020;04:00;0
03.01.2020;05:00;0
03.01.2020;06:00;0
03.01.2020;07:00;0
03.01.2020;08:00;0
03.01.2020;09:00;0
03.01.2020;10:00;0
03.01.2020;11:00;0
03.01.2020;12:00;0
03.01.2020;13:00;0
03.01.2020;14:00;0
03.01.2020;15:00;0
03.01.2020;16:00;0
03.01.2020;17:00;25
03.01.2020;18:00;40
03.01.2020;19:00;31
03.01.2020;20:00;30
03.01.2020;21:00;29
03.01.2020;22:00;7
03.01.2020;23:00;3
04.01.2020;00:00;0
04.01.2020;01:00;0
04.01.2020;02:00;0
04.01.2020;03:00;0
04.01.2020;04:00;0
04.01.2020;05:00;0
04.01.2020;06:00;0
04.01.2020;07:00;0
04.01.2020;08:00;56
04.01.2020;09:00;77
04.01.2020;10:00;3
04.01.2020;11:00;1
04.01.2020;12:00;11
04.01.2020;13:00;49
04.01.2020;14:00;1
04.01.2020;15:00;0
04.01.2020;16:00;0
04.01.2020;17:00;0
04.01.2020;18:00;0
04.01.2020;19:00;0
04.01.2020;20:00;0
04.01.2020;21:00;0
04.01.2020;22:00;0
04.01.2020;23:00;0
05.01.2020;00:00;0
05.01.2020;01:00;0
05.01.2020;02:00;0
05.01.2020;03:00;0
05.01.2020;04:00;0
05.01.2020;05:00;0
05.01.2020;06:00;0
05.01.2020;07:00;0
05.01.2020;08:00;2
05.01.2020;09:00;15
05.01.2020;10:00;32
05.01.2020;11:00;33
05.01.2020;12:00;5
05.01.2020;13:00;0
05.01.2020;14:00;0
05.01.2020;15:00;0
05.01.2020;16:00;0
05.01.2020;17:00;0
05.01.2020;18:00;0
05.01.2020;19:00;0
05.01.2020;20:00;0
05.01.2020;21:00;0
05.01.2020;22:00;0
05.01.2020;23:00;0
06.01.2020;00:00;0
06.01.2020;01:00;0
06.01.2020;02:00;0
06.01.2020;03:00;0
06.01.2020;04:00;0
06.01.2020;05:00;0
06.01.2020;06:00;0
06.01.2020;07:00;0
06.01.2020;08:00;5
06.01.2020;09:00;32
06.01.2020;10:00;1
06.01.2020;11:00;0
06.01.2020;12:00;0
06.01.2020;13:00;1
06.01.2020;14:00;100
06.01.2020;15:00;81
06.01.2020;16:00;49
06.01.2020;17:00;96
06.01.2020;18:00;57
06.01.2020;19:00;77
06.01.2020;20:00;40
06.01.2020;21:00;6
06.01.2020;22:00;12
06.01.2020;23:00;0
07.01.2020;00:00;0
07.01.2020;01:00;0
07.01.2020;02:00;0
07.01.2020;03:00;0
07.01.2020;04:00;0
07.01.2020;05:00;0
07.01.2020;06:00;0
07.01.2020;07:00;0
07.01.2020;08:00;4
07.01.2020;09:00;73
07.01.2020;10:00;80
07.01.2020;11:00;64
07.01.2020;12:00;22
07.01.2020;13:00;0
07.01.2020;14:00;80
07.01.2020;15:00;150
07.01.2020;16:00;183
07.01.2020;17:00;183
07.01.2020;18:00;135
07.01.2020;19:00;41
07.01.2020;20:00;28
07.01.2020;21:00;0
07.01.2020;22:00;0
07.01.2020;23:00;0
08.01.2020;00:00;0
08.01.2020;01:00;0
08.01.2020;02:00;0
08.01.2020;03:00;0
08.01.2020;04:00;0
08.01.2020;05:00;0
08.01.2020;06:00;7
08.01.2020;07:00;145
08.01.2020;08:00;147
08.01.2020;09:00;172
08.01.2020;10:00;105
08.01.2020;11:00;54
08.01.2020;12:00;40
08.01.2020;13:00;59
08.01.2020;14:00;82
08.01.2020;15:00;100
08.01.2020;16:00;77
08.01.2020;17:00;70
08.01.2020;18:00;82
08.01.2020;19:00;9
08.01.2020;20:00;0
08.01.2020;21:00;0
08.01.2020;22:00;0
08.01.2020;23:00;0
09.01.2020;00:00;0
09.01.2020;01:00;0
09.01.2020;02:00;0
09.01.2020;03:00;0
09.01.2020;04:00;0
09.01.2020;05:00;0
09.01.2020;06:00;65
09.01.2020;07:00;41
09.01.2020;08:00;62
09.01.2020;09:00;0
09.01.2020;10:00;0
09.01.2020;11:00;0
09.01.2020;12:00;0
09.01.2020;13:00;0
09.01.2020;14:00;0
09.01.2020;15:00;0
09.01.2020;16:00;0
09.01.2020;17:00;0
09.01.2020;18:00;0
09.01.2020;19:00;0
09.01.2020;20:00;0
09.01.2020;21:00;0
09.01.2020;22:00;0
09.01.2020;23:00;0
10.01.2020;00:00;0
10.01.2020;01:00;0
10.01.2020;02:00;0
10.01.2020;03:00;0
10.01.2020;04:00;0
10.01.2020;05:00;0
10.01.2020;06:00;0
10.01.2020;07:00;0
10.01.2020;08:00;0
10.01.2020;09:00;0
10.01.2020;10:00;0
10.01.2020;11:00;0
10.01.2020;12:00;0
10.01.2020;13:00;0
10.01.2020;14:00;0
10.01.2020;15:00;0
10.01.2020;16:00;0
10.01.2020;17:00;0
10.01.2020;18:00;0
10.01.2020;19:00;0
10.01.2020;20:00;0
10.01.2020;21:00;0
10.01.2020;22:00;0
10.01.2020;23:00;0
11.01.2020;00:00;0
11.01.2020;01:00;0
