Datum;Uhrzeit;Generation_DE GT1 & GT2[MW];Generation_DE BMHeizkraftwerk[MW];Generation_DE Zolling Block 5[MW]
01.01.2020;00:00;-;-;0
01.01.2020;01:00;-;-;0
01.01.2020;02:00;-;-;0
01.01.2020;03:00;-;-;0
01.01.2020;04:00;-;-;0
01.01.2020;05:00;-;-;0
01.01.2020;06:00;-;-;0
01.01.2020;07:00;-;-;0
01.01.2020;08:00;-;-;0
01.01.2020;09:00;-;-;0
01.01.2020;10:00;-;-;0
01.01.2020;11:00;-;-;0
01.01.2020;12:00;-;-;0
01.01.2020;13:00;-;-;0
01.01.2020;14:00;-;-;0
01.01.2020;15:00;-;-;0
01.01.2020;16:00;-;-;0
01.01.2020;17:00;-;-;0
01.01.2020;18:00;-;-;0
01.01.2020;19:00;-;-;0
01.01.2020;20:00;-;-;0
01.01.2020;21:00;-;-;0
01.01.2020;22:00;-;-;0
01.01.2020;23:00;-;-;0
02.01.2020;00:00;-;-;0
02.01.2020;01:00;-;-;0
02.01.2020;02:00;-;-;0
02.01.2020;03:00;-;-;0
02.01.2020;04:00;-;-;0
02.01.2020;05:00;-;-;0
02.01.2020;06:00;-;-;59
02.01.2020;07:00;-;-;125
02.01.2020;08:00;-;-;271
02.01.2020;09:00;-;-;448
02.01.2020;10:00;-;-;448
02.01.2020;11:00;-;-;448
02.01.2020;12:00;-;-;449
02.01.2020;13:00;-;-;449
02.01.2020;14:00;-;-;449
02.01.2020;15:00;-;-;450
02.01.2020;16:00;-;-;449
02.01.2020;17:00;-;-;450
02.01.2020;18:00;-;-;450
02.01.2020;19:00;-;-;448
02.01.2020;20:00;-;-;275
02.01.2020;21:00;-;-;117
02.01.2020;22:00;-;-;115
02.01.2020;23:00;-;-;120
03.01.2020;00:00;-;-;196
03.01.2020;01:00;-;-;122
03.01.2020;02:00;-;-;115
03.01.2020;03:00;-;-;115
03.01.2020;04:00;-;-;115
03.01.2020;05:00;-;-;115
03.01.2020;06:00;-;-;115
03.01.2020;07:00;-;-;115
03.01.2020;08:00;-;-;115
03.01.2020;09:00;-;-;115
03.01.2020;10:00;-;-;115
03.01.2020;11:00;-;-;115
03.01.2020;12:00;-;-;115
03.01.2020;13:00;-;-;115
03.01.2020;14:00;-;-;115
03.01.2020;15:00;-;-;115
03.01.2020;16:00;-;-;115
03.01.2020;17:00;-;-;114
03.01.2020;18:00;-;-;115
03.01.2020;19:00;-;-;115
03.01.2020;20:00;-;-;115
03.01.2020;21:00;-;-;115
03.01.2020;22:00;-;-;115
03.01.2020;23:00;-;-;113
04.01.2020;00:00;-;-;5
04.01.2020;01:00;-;-;0
04.01.2020;02:00;-;-;0
04.01.2020;03:00;-;-;0
04.01.2020;04:00;-;-;0
04.01.2020;05:00;-;-;0
04.01.2020;06:00;-;-;0
04.01.2020;07:00;-;-;0
04.01.2020;08:00;-;-;0
04.01.2020;09:00;-;-;0
04.01.2020;10:00;-;-;0
04.01.2020;11:00;-;-;0
04.01.2020;12:00;-;-;0
04.01.2020;13:00;-;-;0
04.01.2020;14:00;-;-;0
04.01.2020;15:00;-;-;0
04.01.2020;16:00;-;-;0
04.01.2020;17:00;-;-;0
04.01.2020;18:00;-;-;0
04.01.2020;19:00;-;-;0
04.01.2020;20:00;-;-;0
04.01.2020;21:00;-;-;0
04.01.2020;22:00;-;-;0
04.01.2020;23:00;-;-;0
05.01.2020;00:00;-;-;0
05.01.2020;01:00;-;-;0
05.01.2020;02:00;-;-;0
05.01.2020;03:00;-;-;0
05.01.2020;04:00;-;-;0
05.01.2020;05:00;-;-;0
05.01.2020;06:00;-;-;0
05.01.2020;07:00;-;-;0
05.01.2020;08:00;-;-;0
05.01.2020;09:00;-;-;0
05.01.2020;10:00;-;-;0
05.01.2020;11:00;-;-;0
05.01.2020;12:00;-;-;0
05.01.2020;13:00;-;-;0
05.01.2020;14:00;-;-;0
05.01.2020;15:00;-;-;0
05.01.2020;16:00;-;-;0
05.01.2020;17:00;-;-;0
05.01.2020;18:00;-;-;0
05.01.2020;19:00;-;-;0
05.01.2020;20:00;-;-;0
05.01.2020;21:00;-;-;0
05.01.2020;22:00;-;-;0
05.01.2020;23:00;-;-;0
06.01.2020;00:00;-;-;0
06.01.2020;01:00;-;-;0
06.01.2020;02:00;-;-;0
06.01.2020;03:00;-;-;0
06.01.2020;04:00;-;-;0
06.01.2020;05:00;-;-;0
06.01.2020;06:00;-;-;0
06.01.2020;07:00;-;-;0
06.01.2020;08:00;-;-;0
06.01.2020;09:00;-;-;0
06.01.2020;10:00;-;-;0
06.01.2020;11:00;-;-;0
06.01.2020;12:00;-;-;0
06.01.2020;13:00;-;-;0
06.01.2020;14:00;-;-;0
06.01.2020;15:00;-;-;51
06.01.2020;16:00;-;-;172
06.01.2020;17:00;-;-;331
06.01.2020;18:00;-;-;346
06.01.2020;19:00;-;-;444
06.01.2020;20:00;-;-;451
06.01.2020;21:00;-;-;243
06.01.2020;22:00;-;-;118
06.01.2020;23:00;-;-;120
07.01.2020;00:00;-;-;121
07.01.2020;01:00;-;-;120
07.01.2020;02:00;-;-;119
07.01.2020;03:00;-;-;120
07.01.2020;04:00;-;-;120
07.01.2020;05:00;-;-;131
07.01.2020;06:00;-;-;317
07.01.2020;07:00;-;-;446
07.01.2020;08:00;-;-;450
07.01.2020;09:00;-;-;447
07.01.2020;10:00;-;-;448
07.01.2020;11:00;-;-;448
07.01.2020;12:00;-;-;452
07.01.2020;13:00;-;-;454
07.01.2020;14:00;-;-;454
07.01.2020;15:00;-;-;454
07.01.2020;16:00;-;-;455
07.01.2020;17:00;-;-;454
07.01.2020;18:00;-;-;455
07.01.2020;19:00;-;-;454
07.01.2020;20:00;-;-;262
07.01.2020;21:00;-;-;51
07.01.2020;22:00;-;-;0
07.01.2020;23:00;-;-;0
08.01.2020;00:00;-;-;0
08.01.2020;01:00;-;-;0
08.01.2020;02:00;-;-;0
08.01.2020;03:00;-;-;0
08.01.2020;04:00;-;-;0
08.01.2020;05:00;-;-;0
08.01.2020;06:00;-;-;0
08.01.2020;07:00;-;-;14
08.01.2020;08:00;-;-;144
08.01.2020;09:00;-;-;367
08.01.2020;10:00;-;-;447
08.01.2020;11:00;-;-;449
08.01.2020;12:00;-;-;450
08.01.2020;13:00;-;-;449
08.01.2020;14:00;-;-;450
