Datum;Uhrzeit;Physikalischer Nettoexport[MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
01.01.2020;00:00;-1.029;592;-570;1.982;0;0;-1.896;58;-1.077;379;0;0;-607;964;-522;0;-795;602;-139
01.01.2020;01:00;-1.024;660;-177;1.589;0;0;-1.932;0;-1.172;371;0;0;-608;1.031;-493;0;-1.077;784;0
01.01.2020;02:00;-1.390;892;-1;1.507;0;0;-2.006;0;-1.504;358;0;0;-607;965;-562;0;-971;539;0
01.01.2020;03:00;-578;894;0;1.591;0;0;-1.857;0;-975;350;0;0;-608;981;-346;0;-1.370;762;0
01.01.2020;04:00;-326;727;0;1.284;0;0;-1.675;27;-715;350;0;0;-608;1.018;-135;0;-1.575;976;0
01.01.2020;05:00;46;1.159;0;1.400;0;0;-1.731;17;-717;353;0;0;-609;1.010;-179;0;-1.604;947;0
01.01.2020;06:00;2.452;1.795;0;1.671;0;0;-1.063;135;-787;315;0;0;-608;1.194;-181;0;-1.078;1.059;0
01.01.2020;07:00;3.384;2.340;0;1.830;0;0;-1.200;162;-842;325;0;0;-608;1.251;-210;0;-615;951;0
01.01.2020;08:00;2.917;2.896;0;1.554;0;0;-1.922;174;-883;326;0;0;-608;1.225;-354;0;-454;963;0
01.01.2020;09:00;3.745;3.126;0;1.858;-40;0;-1.780;8;-985;331;0;0;-608;1.472;-323;20;-183;849;0
01.01.2020;10:00;4.178;3.211;0;1.561;-104;0;-1.589;3;-827;340;0;0;-608;1.641;-279;180;-193;842;0
01.01.2020;11:00;4.256;3.366;0;1.285;-183;0;-1.824;8;-848;368;0;0;-608;1.764;-280;415;-35;828;0
01.01.2020;12:00;5.005;3.420;0;1.624;-232;0;-1.905;119;-761;392;0;0;-607;1.904;-359;675;0;735;0
