Datum;Uhrzeit;Gesamt[MWh]
01.01.2020;00:00;10.696
01.01.2020;00:15;10.594
01.01.2020;00:30;10.526
01.01.2020;00:45;10.520
01.01.2020;01:00;10.434
01.01.2020;01:15;10.300
01.01.2020;01:30;10.253
01.01.2020;01:45;10.200
01.01.2020;02:00;10.162
01.01.2020;02:15;10.110
01.01.2020;02:30;10.078
01.01.2020;02:45;10.049
01.01.2020;03:00;9.836
01.01.2020;03:15;9.728
01.01.2020;03:30;9.691
01.01.2020;03:45;9.664
01.01.2020;04:00;9.777
01.01.2020;04:15;9.704
01.01.2020;04:30;9.701
01.01.2020;04:45;9.697
01.01.2020;05:00;9.869
01.01.2020;05:15;9.789
01.01.2020;05:30;9.788
01.01.2020;05:45;9.717
01.01.2020;06:00;9.415
01.01.2020;06:15;9.361
01.01.2020;06:30;9.353
01.01.2020;06:45;9.382
01.01.2020;07:00;9.451
01.01.2020;07:15;9.503
01.01.2020;07:30;9.466
01.01.2020;07:45;9.473
01.01.2020;08:00;9.552
01.01.2020;08:15;9.613
01.01.2020;08:30;9.686
01.01.2020;08:45;9.828
01.01.2020;09:00;10.020
01.01.2020;09:15;10.182
01.01.2020;09:30;10.334
01.01.2020;09:45;10.555
01.01.2020;10:00;10.618
01.01.2020;10:15;10.716
01.01.2020;10:30;10.821
01.01.2020;10:45;10.940
01.01.2020;11:00;11.136
01.01.2020;11:15;11.284
01.01.2020;11:30;11.395
01.01.2020;11:45;11.434
01.01.2020;12:00;11.607
01.01.2020;12:15;11.638
01.01.2020;12:30;11.612
01.01.2020;12:45;11.642
01.01.2020;13:00;11.612
01.01.2020;13:15;11.571
01.01.2020;13:30;11.595
01.01.2020;13:45;11.550
01.01.2020;14:00;11.387
01.01.2020;14:15;11.330
01.01.2020;14:30;11.190
01.01.2020;14:45;11.208
01.01.2020;15:00;11.305
01.01.2020;15:15;11.248
01.01.2020;15:30;11.242
01.01.2020;15:45;11.244
01.01.2020;16:00;11.427
01.01.2020;16:15;11.630
01.01.2020;16:30;11.945
01.01.2020;16:45;12.312
01.01.2020;17:00;12.659
01.01.2020;17:15;12.746
01.01.2020;17:30;12.883
01.01.2020;17:45;12.907
01.01.2020;18:00;12.988
01.01.2020;18:15;12.950
01.01.2020;18:30;12.967
01.01.2020;18:45;12.850
01.01.2020;19:00;12.892
01.01.2020;19:15;12.707
01.01.2020;19:30;12.621
01.01.2020;19:45;12.512
01.01.2020;20:00;12.368
01.01.2020;20:15;12.219
01.01.2020;20:30;12.079
01.01.2020;20:45;11.926
01.01.2020;21:00;11.952
01.01.2020;21:15;11.905
01.01.2020;21:30;11.935
01.01.2020;21:45;11.873
01.01.2020;22:00;12.012
01.01.2020;22:15;11.878
01.01.2020;22:30;11.660
01.01.2020;22:45;11.445
01.01.2020;23:00;11.271
01.01.2020;23:15;11.166
01.01.2020;23:30;10.930
01.01.2020;23:45;10.739
02.01.2020;00:00;10.733
02.01.2020;00:15;10.643
02.01.2020;00:30;10.630
